Listing,Make,Year_model,Price,Milage,Exterior_color,Interior_color,Transmission,Drivetrain
2007 Lexus GS 350,Lexus,2007,"$10,700","82,101",White,Beige,Automatic,RWD
2019 Cadillac XT4 Sport,Cadillac,2019,"$35,800","7,649",Silver,Black,Automatic,FWD
2017 BMW 328d Base,BMW,2017,"$19,699","20,715",Black,Brown,Automatic,RWD
2016 Nissan Altima 2.5 SL,Nissan,2016,"$12,099","57,006",Gray,Gray,CVT,FWD
2018 Chevrolet Impala 1LT,Chevrolet,2018,"$14,995","37,620",White,Black,Automatic,FWD
2019 Chevrolet Malibu LT,Chevrolet,2019,"$15,073","35,177",Silver,Black,CVT,FWD
2018 Volkswagen Tiguan 2.0T S,Volkswagen,2018,"$17,999","22,200",Black,Black,Automatic,FWD
2017 Jeep Renegade Latitude,Jeep,2017,"$10,695","81,825",Blue,Black,Automatic,FWD
2008 Mercedes-Benz ML 350 4MATIC,Mercedes-Benz,2008,"$6,999","116,974",Blue,Beige,Automatic,AWD
2018 Volkswagen Tiguan 2.0T SE,Volkswagen,2018,"$21,888","15,702",White,Black,Automatic,FWD
2014 Nissan Sentra SV,Nissan,2014,"$5,400","98,398",Black,Black,CVT,FWD
2017 Nissan Sentra SR Turbo,Nissan,2017,"$13,997","21,913",White,Gray,Manual,FWD
2018 Kia Soul +,Kia,2018,"$9,099","85,753",Silver,Black,Automatic,FWD
2017 Lincoln Continental Reserve,Lincoln,2017,"$42,988","7,443",Black,Black,Automatic,AWD
2016 Dodge Dart SXT,Dodge,2016,"$8,995","71,906",Black,Gray,Manual,FWD
2014 Chevrolet Spark EV 1LT,Chevrolet,2014,"$7,999","38,887",White,Blue,Automatic,FWD
2018 Acura MDX 3.5L,Acura,2018,"$30,977","26,122",Black,Black,Automatic,FWD
2019 Ford Transit-350 XLT,Ford,2019,"$31,788","8,527",White,Gray,Automatic,RWD
2014 Mercedes-Benz GL 350 BlueTEC 4MATIC,Mercedes-Benz,2014,"$20,490","102,467",White,Black,Automatic,AWD
2016 GMC Terrain SLE-1,GMC,2016,"$13,971","55,983",Black,Black,Automatic,AWD
2018 Volkswagen Tiguan 2.0T S,Volkswagen,2018,"$18,994","12,200",White,Black,Automatic,FWD
2018 Hyundai Tucson SEL,Hyundai,2018,"$17,559","18,058",Silver,Gray,Automatic,FWD
2017 Toyota Camry SE,Toyota,2017,"$13,948","56,072",Gray,Black,Automatic,FWD
2015 Land Rover Range Rover Sport Supercharged SE,Land,2015,"$29,950","69,000",White,Other,Automatic,4x4/4-wheel drive
2012 Jeep Grand Cherokee Laredo,Jeep,2012,"$12,990","68,000",Silver,Gray,Automatic,RWD
2019 Nissan Frontier SL,Nissan,2019,"$24,800","24,288",Silver,Gray,Automatic,4x4/4-wheel drive
2020 Cadillac XT4 Premium Luxury,Cadillac,2020,"$37,995","2,135",White,Gray,Automatic,FWD
2017 INFINITI QX30 Premium,INFINITI,2017,"$22,995","30,666",White,Beige,Automatic,AWD
2018 Jaguar XE 25t,Jaguar,2018,"$20,255","27,488",Black,Black,Automatic,RWD
2017 RAM 2500 Big Horn,RAM,2017,"$31,550","27,396",White,Black,Automatic,RWD
2018 BMW X5 sDrive35i,BMW,2018,"$36,250","23,090",Gray,Black,Automatic,RWD
2014 Volkswagen Tiguan Auto R-Line,Volkswagen,2014,"$13,250","47,425",White,Beige,Automatic,FWD
2018 Mercedes-Benz GLA 250 Base,Mercedes-Benz,2018,"$20,399","49,469",Silver,Black,Automatic,FWD
2016 Ford Fusion SE,Ford,2016,"$10,500","25,529",Blue,Black,Automatic,FWD
2017 Audi SQ5 3.0T Premium Plus,Audi,2017,"$37,293","26,628",Gray,Black,Automatic,AWD
2019 Nissan Pathfinder SV,Nissan,2019,"$19,999","39,929",Gray,Gray,Automatic,FWD
2012 Hyundai Equus Signature,Hyundai,2012,"$15,200","55,162",Silver,Black,Automatic,RWD
2017 Nissan Sentra S,Nissan,2017,"$10,995","46,287",Silver,Gray,CVT,FWD
2019 Kia Rio S,Kia,2019,"$12,950","15,047",Red,Black,Automatic,FWD
2019 Jaguar XE 20d Premium,Jaguar,2019,"$27,900","14,723",White,Other,Automatic,AWD
2020 Kia Forte EX,Kia,2020,"$21,988","1,083",Black,Black,CVT,FWD
2019 Lexus NX 300 Base,Lexus,2019,"$30,200","19,106",Silver,Black,Automatic,FWD
2019 Lexus NX 300 Base,Lexus,2019,"$30,800","17,668",White,Brown,Automatic,FWD
2015 MINI Hardtop Cooper,MINI,2015,"$7,493","68,864",Silver,Black,Automatic,FWD
2018 Nissan Versa 1.6 SV,Nissan,2018,"$8,920","43,182",Silver,Gray,CVT,FWD
2015 Nissan Sentra S,Nissan,2015,"$5,492","106,811",Gray,Gray,CVT,FWD
2016 Honda Accord EX-L,Honda,2016,"$17,800","49,771",Silver,Black,CVT,FWD
2018 Kia Soul +,Kia,2018,"$9,499","75,260",White,Black,Automatic,FWD
2019 Toyota RAV4 LE,Toyota,2019,"$18,719","29,193",Red,Black,Automatic,FWD
2017 Lexus ES 350 Base,Lexus,2017,"$24,549","21,714",Silver,Beige,Automatic,FWD
2017 Mercedes-Benz GLA 250 Base,Mercedes-Benz,2017,"$22,988","14,520",Black,Black,Automatic,FWD
2018 Jeep Grand Cherokee Laredo,Jeep,2018,"$23,500","13,044",White,Black,Automatic,4x4/4-wheel drive
2015 Jeep Renegade Latitude,Jeep,2015,"$12,621","56,340",White,Black,Automatic,4x4/4-wheel drive
2018 Jeep Grand Cherokee Altitude,Jeep,2018,"$34,000","30,064",Gray,Black,Automatic,4x4/4-wheel drive
2018 Lexus GX 460 Luxury,Lexus,2018,"$47,898","12,032",White,Black,Automatic,4x4/4-wheel drive
2018 Mercedes-Benz AMG GLC 43 Base 4MATIC,Mercedes-Benz,2018,"$51,988","11,535",Black,Black,Automatic,AWD
2018 Honda HR-V LX,Honda,2018,"$17,470","17,347",Gray,Black,CVT,FWD
2015 Chevrolet Trax LT,Chevrolet,2015,"$8,991","75,899",Silver,Black,Automatic,FWD
2016 Toyota RAV4 Hybrid XLE,Toyota,2016,"$20,981","40,129",White,Gray,CVT,AWD
2014 Dodge Charger R/T,Dodge,2014,"$21,995","15,330",Silver,Black,Automatic,RWD
2017 Acura MDX 3.5L w/Advance Package,Acura,2017,"$27,925","65,790",White,Black,Automatic,FWD
2017 Subaru WRX Limited,Subaru,2017,"$24,491","27,044",Black,Black,Manual,AWD
