Listing,Make,Year_model,Price,Milage,Exterior_color,Interior_color,Transmission,Drivetrain
2008 Nissan Armada LE,Nissan,2008,"$9,990","121,721",Black,Gray,Automatic,4x4/4-wheel drive
2020 Nissan Altima 2.5 SR,Nissan,2020,"$20,486","3,212",Gray,Other,CVT,FWD
2005 Audi A8 4.2 quattro,Audi,2005,"$7,490","79,822",Black,Beige,Automatic,AWD
2009 Dodge Caliber SXT,Dodge,2009,"$6,995","47,362",Black,Black,CVT,FWD
2017 Hyundai Sonata Limited 2.0T,Hyundai,2017,"$18,577","30,037",Silver,Gray,Automatic,FWD
2009 Hyundai Santa Fe GLS,Hyundai,2009,"$4,795","112,754",Silver,Gray,Automatic,FWD
2019 Volkswagen Jetta 1.4T SE,Volkswagen,2019,"$14,897","36,994",Black,Black,Automatic,FWD
2019 GMC Yukon XL SLT,GMC,2019,"$47,265","15,551",White,Black,Automatic,4x4/4-wheel drive
2012 Chevrolet Express 3500 LT,Chevrolet,2012,"$13,795","90,114",Red,Gray,Automatic,RWD
2014 Ford Utility Police Interceptor Base,Ford,2014,"$13,795","70,193",Black,Gray,Automatic,AWD
2011 Ford Escape Hybrid,Ford,2011,"$13,795","31,778",Blue,Beige,CVT,4x4/4-wheel drive
2009 Chevrolet Cobalt LS,Chevrolet,2009,"$5,500","35,488",Black,Gray,Automatic,FWD
2017 Nissan Versa 1.6 S+,Nissan,2017,"$8,999","32,511",Gray,Gray,CVT,FWD
2019 Hyundai Elantra SEL,Hyundai,2019,"$13,000","34,528",Red,Gray,Automatic,FWD
2014 Audi Q7 3.0T Premium Plus,Audi,2014,"$17,885","84,178",White,Gray,Automatic,AWD
2019 Toyota Corolla LE,Toyota,2019,"$13,000","37,091",Black,Other,CVT,FWD
2018 Volkswagen Tiguan 2.0T SEL,Volkswagen,2018,"$23,927","15,918",White,Gray,Automatic,FWD
2003 Ford F-350 Lariat SuperCab Super Duty,Ford,2003,"$27,995","68,000",Black,Black,Automatic,4x4/4-wheel drive
2013 Nissan Maxima SV,Nissan,2013,"$11,499","53,859",Silver,Black,CVT,FWD
2015 Jeep Renegade Latitude,Jeep,2015,"$10,995","56,375",Yellow,Black,Automatic,4x4/4-wheel drive
2016 Honda CR-V SE,Honda,2016,"$15,999","21,779",Blue,Gray,CVT,AWD
2012 Volkswagen Tiguan S,Volkswagen,2012,"$8,499","59,788",Gray,Gray,Automatic,AWD
2015 BMW 550 i xDrive,BMW,2015,"$22,888","62,033",Black,Black,Automatic,AWD
2017 Acura MDX 3.5L,Acura,2017,"$25,995","44,650",White,Beige,Automatic,AWD
2008 Hummer H3 Alpha,Hummer,2008,"$22,977","73,184",Black,Black,Automatic,4x4/4-wheel drive
2017 Hyundai Santa Fe Sport 2.0L Turbo Ultimate,Hyundai,2017,"$23,492","33,476",Black,Gray,Automatic,AWD
